AreaCode,AreaName,Livestock_Type_Code,Livestock_Type,ParamName,ParamValue,Units
16,Bangladesh,1051,"Swine, breeding",TAM,28,kg/animal
16,Bangladesh,1052,"Chicken, layers",TAM,1.8,kg/animal
16,Bangladesh,1053,"Chicken, broilers",TAM,0.9,kg/animal
16,Bangladesh,1068,Ducks,TAM,2.7,kg/animal
16,Bangladesh,1079,Turkeys,TAM,6.8,kg/animal
16,Bangladesh,976,Sheep,TAM,28,kg/animal
16,Bangladesh,1016,Goats,TAM,30,kg/animal
16,Bangladesh,1096,Horses,TAM,238,kg/animal
16,Bangladesh,1107,Asses,TAM,130,kg/animal
16,Bangladesh,1110,Mules,TAM,130,kg/animal
16,Bangladesh,1126,Camels,TAM,217,kg/animal
16,Bangladesh,1177,Llamas,TAM,120,kg/animal
17,Bermuda,960,"Cattle, dairy",TAM,604,kg/animal
17,Bermuda,961,"Cattle, non-dairy",TAM,389,kg/animal
17,Bermuda,946,Buffalo,TAM,380,kg/animal
17,Bermuda,1049,"Swine, market",TAM,46,kg/animal
17,Bermuda,1051,"Swine, breeding",TAM,198,kg/animal
17,Bermuda,1052,"Chicken, layers",TAM,1.8,kg/animal
17,Bermuda,1053,"Chicken, broilers",TAM,0.9,kg/animal
17,Bermuda,1068,Ducks,TAM,2.7,kg/animal
17,Bermuda,1079,Turkeys,TAM,6.8,kg/animal
17,Bermuda,976,Sheep,TAM,48.5,kg/animal
17,Bermuda,1016,Goats,TAM,38.5,kg/animal
17,Bermuda,1096,Horses,TAM,377,kg/animal
17,Bermuda,1107,Asses,TAM,130,kg/animal
17,Bermuda,1110,Mules,TAM,130,kg/animal
17,Bermuda,1126,Camels,TAM,217,kg/animal
17,Bermuda,1177,Llamas,TAM,120,kg/animal
18,Bhutan,960,"Cattle, dairy",TAM,275,kg/animal
18,Bhutan,961,"Cattle, non-dairy",TAM,110,kg/animal
18,Bhutan,946,Buffalo,TAM,295,kg/animal
18,Bhutan,1049,"Swine, market",TAM,28,kg/animal
18,Bhutan,1051,"Swine, breeding",TAM,28,kg/animal
18,Bhutan,1052,"Chicken, layers",TAM,1.8,kg/animal
18,Bhutan,1053,"Chicken, broilers",TAM,0.9,kg/animal
18,Bhutan,1068,Ducks,TAM,2.7,kg/animal
18,Bhutan,1079,Turkeys,TAM,6.8,kg/animal
18,Bhutan,976,Sheep,TAM,28,kg/animal
18,Bhutan,1016,Goats,TAM,30,kg/animal
18,Bhutan,1096,Horses,TAM,238,kg/animal
18,Bhutan,1107,Asses,TAM,130,kg/animal
18,Bhutan,1110,Mules,TAM,130,kg/animal
18,Bhutan,1126,Camels,TAM,217,kg/animal
18,Bhutan,1177,Llamas,TAM,120,kg/animal
19,Bolivia (Plurinational State of),960,"Cattle, dairy",TAM,400,kg/animal
19,Bolivia (Plurinational State of),961,"Cattle, non-dairy",TAM,305,kg/animal
19,Bolivia (Plurinational State of),946,Buffalo,TAM,380,kg/animal
19,Bolivia (Plurinational State of),1049,"Swine, market",TAM,28,kg/animal
19,Bolivia (Plurinational State of),1051,"Swine, breeding",TAM,28,kg/animal
19,Bolivia (Plurinational State of),1052,"Chicken, layers",TAM,1.8,kg/animal
19,Bolivia (Plurinational State of),1053,"Chicken, broilers",TAM,0.9,kg/animal
19,Bolivia (Plurinational State of),1068,Ducks,TAM,2.7,kg/animal
19,Bolivia (Plurinational State of),1079,Turkeys,TAM,6.8,kg/animal
19,Bolivia (Plurinational State of),976,Sheep,TAM,28,kg/animal
19,Bolivia (Plurinational State of),1016,Goats,TAM,30,kg/animal
19,Bolivia (Plurinational State of),1096,Horses,TAM,238,kg/animal
19,Bolivia (Plurinational State of),1107,Asses,TAM,130,kg/animal
19,Bolivia (Plurinational State of),1110,Mules,TAM,130,kg/animal
19,Bolivia (Plurinational State of),1126,Camels,TAM,217,kg/animal
19,Bolivia (Plurinational State of),1177,Llamas,TAM,120,kg/animal
20,Botswana,960,"Cattle, dairy",TAM,275,kg/animal
20,Botswana,961,"Cattle, non-dairy",TAM,173,kg/animal
20,Botswana,946,Buffalo,TAM,380,kg/animal
20,Botswana,1049,"Swine, market",TAM,28,kg/animal
20,Botswana,1051,"Swine, breeding",TAM,28,kg/animal
