"Item Group Code","Item Group","Item Code","Item","Factor","HS Code","HS07 Code","HS12 Code","CPC Code"
"1882","Agricult.Products, Total","1061","Meat, chicken, canned","1","","160231, 160232, 160239","160231, 160232, 160239","F1061"
"1882","Agricult.Products, Total","1164","Meat, dried nes","1","","021091, 021092, 021093, 021099","021091, 021092, 021093, 021099","21183"
"1882","Agricult.Products, Total","1069","Meat, duck","1","","020732, 020733, 020735, 020736","020741, 020742, 020744, 020745","21122"
"1882","Agricult.Products, Total","873","Meat, extracts","1","","160300","160300","21185"
"1882","Agricult.Products, Total","1163","Meat, game","1","","020890","020890","21170.02"
"1882","Agricult.Products, Total","1017","Meat, goat","1","","020450","020450","21116"
"1882","Agricult.Products, Total","1073","Meat, goose and guinea fowl","1","","020732, 020733, 020735, 020736","020751, 020752, 020754, 020755","21123"
"1882","Agricult.Products, Total","877","Meat, homogenized preparations","1","","160210","160210","23991.04"
"1882","Agricult.Products, Total","1097","Meat, horse","1","","020500","020500","21118.01"
"1882","Agricult.Products, Total","1035","Meat, pig","1","","020311, 020312, 020319, 020321, 020322, 020329","020311, 020312, 020319, 020321, 020322, 020329","21113.01"
"1882","Agricult.Products, Total","1041","Meat, pig sausages","1","","160100","160100","21184.02"
"1882","Agricult.Products, Total","1042","Meat, pig, preparations","1","","160241, 160242, 160249","160241, 160242, 160249","F1042"
"1882","Agricult.Products, Total","1038","Meat, pork","1","","020319, 020329","020319, 020329","21113.02"
"1882","Agricult.Products, Total","1141","Meat, rabbit","1","","020810","020810","21114"
"1882","Agricult.Products, Total","977","Meat, sheep","1","","020410, 020421, 020422, 020423, 020430, 020441, 020442, 020443","020410, 020421, 020422, 020423, 020430, 020441, 020442, 020443","21115"
"1882","Agricult.Products, Total","1080","Meat, turkey","1","","020724, 020725, 020726, 020727","020724, 020725, 020726, 020727","21124"
"1882","Agricult.Products, Total","568","Melons, other (inc.cantaloupes)","1","","080719","080719","01229"
"1882","Agricult.Products, Total","299","Melonseed","1","","120799","120770","01449.01"
"1882","Agricult.Products, Total","899","Milk, dry buttermilk","1","","040390","040390","22230.04"
"1882","Agricult.Products, Total","909","Milk, products of natural constituents nes","1","","040490","040490","22290"
"1882","Agricult.Products, Total","908","Milk, reconstituted","1","","040110, 040120","040110, 040120","22110.03"
"1882","Agricult.Products, Total","896","Milk, skimmed condensed","1","","040299","040299","22222.02"
"1882","Agricult.Products, Total","888","Milk, skimmed cow","1","","040110, 040120","040110, 040120","22110.02"
"1882","Agricult.Products, Total","898","Milk, skimmed dried","1","","040210","040210","22212"
"1882","Agricult.Products, Total","895","Milk, skimmed evaporated","1","","040291","040291","22221.02"
"1882","Agricult.Products, Total","889","Milk, whole condensed","1","","040299","040299","22222.01"
